Block,Genotype,Water,Temperature,Replicate,FW,DW,N,LeafNumber,PlantArea,DAS
4,Col-0,C,21,7,110,11,6.81532,15,867.804,33
4,Col-0,C,21,9,97.8,9.7,6.87702,16,712.356,33
4,Col-0,C,21,19,150.6,14.5,7.23923,16,1115.186,33
4,Col-0,C,21,25,257.6,22.3,7.17612,19,1643.206,33
4,Col-0,C,21,26,285.2,24,7.27963,19,1827.802,33
4,Col-0,D,21,1,96.2,10.7,5.2961,16,693.138,33
4,Col-0,D,21,16,132.5,13.1,5.84268,16,914.101,33
4,Col-0,D,21,18,204,19.1,6.19325,20,1286.458,33
4,Col-0,D,21,29,151.9,16.3,5.48389,19,1062.974,33
4,Col-0,D,21,31,240.9,24.7,5.09178,21,1539.118,33
4,Col-0,C,27,9,130.5,10.4,6.42138,14,1011.817,33
4,Col-0,C,27,12,148.2,11.2,6.86614,15,1150.995,33
4,Col-0,C,27,23,214.5,16.9,7.00718,16,1646.165,33
4,Col-0,C,27,25,103.2,7.2,6.30352,12,798.75,33
4,Col-0,C,27,28,155.1,11.2,6.62522,13,1271.959,33
4,Col-0,D,27,2,110.1,8.6,5.80501,12,848.968,33
4,Col-0,D,27,10,203.7,13.8,6.41132,16,1521.254,33
4,Col-0,D,27,19,110.8,8,6.0259,13,941.901,33
4,Col-0,D,27,22,128.8,9.1,6.47765,14,1025.102,33
4,Col-0,D,27,31,158,10.6,6.35973,14,1209.464,33
4,An-1,C,21,2,307.5,30.7,7.89315,20,2037.391,33
4,An-1,C,21,7,309.5,31.3,7.62792,20,2119.999,33
4,An-1,C,21,18,448.4,43.5,7.75533,19,2901.177,33
4,An-1,C,21,26,214.5,21.3,7.51808,17,1554.079,33
4,An-1,C,21,27,316,29.1,7.28221,16,2043.132,33
4,An-1,D,21,4,220.2,21.9,7.22201,19,1600.097,33
4,An-1,D,21,6,94.2,9.7,6.26668,14,769.034,33
4,An-1,D,21,10,141.2,14.2,5.87098,17,1080.602,33
4,An-1,D,21,12,197.1,19.9,6.55048,20,1574.564,33
4,An-1,D,21,14,129.1,13,5.80329,17,916.949,33
4,An-1,C,27,8,229.8,18,6.92714,16,1673.728,33
4,An-1,C,27,19,311.7,24.1,6.67177,18,2165.71,33
4,An-1,C,27,20,210.3,15.5,6.6546,15,1445.559,33
4,An-1,C,27,21,176,13.5,6.73971,17,1287.478,33
4,An-1,C,27,32,268.5,20.3,6.81436,18,1753.651,33
4,An-1,D,27,3,305.2,23.7,6.606,17,1892.442,33
4,An-1,D,27,5,125.9,10,6.61308,14,815.075,33
4,An-1,D,27,9,168.6,13.8,6.3543,15,1164.824,33
4,An-1,D,27,16,209.9,16.2,6.57557,16,1434.651,33
4,Bay-0,C,21,3,881.5,72.4,7.60954,25,5314.032,33
4,Bay-0,C,21,13,450.6,35.7,8.05937,21,3000.871,33
4,Bay-0,C,21,14,588.4,48.3,7.88258,25,4956.33,33
4,Bay-0,C,21,15,779.4,60.1,7.54515,22,4642.562,33
4,Bay-0,C,21,25,577.5,46.2,7.47473,16,2092.244,33
4,Bay-0,D,21,2,276.8,29.1,5.19401,19,1968.802,33
4,Bay-0,D,21,23,376.5,38.3,6.0236,22,2153.016,33
4,Bay-0,D,21,27,364.4,38.7,5.51476,22,2545.735,33
4,Bay-0,D,21,29,520.2,56.7,5.62367,25,3457.198,33
4,Bay-0,D,21,32,414.9,48.9,4.76418,NA,NA,NA
4,Bay-0,C,27,2,178.6,13.1,6.55021,13,1170.871,33
4,Bay-0,C,27,3,179.8,12.1,6.24745,12,1146.88,33
4,Bay-0,C,27,16,403.6,30.6,6.35676,16,2468.446,33
4,Bay-0,C,27,17,207.7,14.3,6.23396,11,1386.161,33
4,Bay-0,C,27,26,333.3,22.4,6.18473,14,2273.737,33
4,Bay-0,D,27,4,276.9,20.5,5.11639,15,2013.797,33
4,Bay-0,D,27,5,111.3,8.2,4.73967,11,869.703,33
4,Bay-0,D,27,10,302.1,23.1,5.91274,14,1878.898,33
4,Bay-0,D,27,12,213.7,15.7,4.72855,12,1529.294,33
4,Bay-0,D,27,14,88.7,6.5,4.61545,10,690.71,33
4,Lp2-6,C,21,3,574.6,56.9,7.17322,27,3770.616,33
4,Lp2-6,C,21,4,659.2,65.6,7.06919,27,4272.284,33
4,Lp2-6,C,21,5,174.5,18.1,7.27878,18,1362.469,33
4,Lp2-6,C,21,7,497.5,51.5,7.16317,26,3319.642,33
4,Lp2-6,C,21,30,438.2,41.7,7.19014,23,2871.336,33
4,Lp2-6,D,21,17,142,21.2,4.88089,19,1118.167,33
4,Lp2-6,D,21,18,202.1,23.4,5.25161,19,1370.46,33
4,Lp2-6,D,21,22,79.9,27.3,5.07109,19,1297.334,33
4,Lp2-6,D,21,23,174.2,26.7,4.68506,18,1178.76,33
4,Lp2-6,D,21,27,293.4,41.4,4.63074,25,2045.368,33
4,Lp2-6,C,27,6,534.9,44.6,6.36257,22,3474.187,33
4,Lp2-6,C,27,11,363.7,33.2,6.22299,21,2484.071,33
4,Lp2-6,C,27,12,528.9,42.6,6.86816,20,3284.18,33
4,Lp2-6,C,27,21,467.6,37.9,6.76752,20,2898.177,33
4,Lp2-6,C,27,30,199.1,15.6,6.64401,17,1253.791,33
4,Lp2-6,D,27,1,270.7,28.9,4.39027,15,1613.429,33
4,Lp2-6,D,27,7,192.7,20.1,4.37049,17,1200.868,33
4,Lp2-6,D,27,17,275.8,31.6,3.94478,16,1615.652,33
4,Lp2-6,D,27,19,268.8,30.3,4.24556,19,1645.283,33
4,Lp2-6,D,27,20,299.4,31,4.94438,18,1926.715,33
4,Bur-0,C,21,2,522.4,48.6,7.36566,27,3117.622,33
4,Bur-0,C,21,7,400.4,38.1,7.22812,25,2451.546,33
4,Bur-0,C,21,9,651.2,62.1,7.50128,32,3873.09,33
4,Bur-0,C,21,11,575.1,53.4,7.34852,29,3267.716,33
4,Bur-0,C,21,15,643,53.9,7.19989,29,3844.85,33
4,Bur-0,D,21,5,424,39.4,6.51096,25,2480.462,33
4,Bur-0,D,21,12,318.4,33.7,5.29489,24,1993.097,33
4,Bur-0,D,21,16,213,22.6,4.98077,21,1473.828,33
4,Bur-0,D,21,18,403.2,36.3,6.45435,26,2513.041,33
4,Bur-0,D,21,21,494.9,44,6.49112,26,3035.811,33
4,Bur-0,C,27,4,107.3,9.2,5.84523,13,516.37,33
4,Bur-0,C,27,9,293.3,24.7,6.08941,16,1354.729,33
4,Bur-0,C,27,11,237.7,21.5,6.13487,16,1145.296,33
4,Bur-0,C,27,15,125.8,10.7,5.75907,16,562.684,33
4,Bur-0,C,27,17,282.7,21.7,5.91601,16,1332.035,33
4,Bur-0,D,27,1,174.6,14.7,NA,14,912.318,33
4,Bur-0,D,27,2,203.7,18.3,5.38923,17,1005.266,33
4,Bur-0,D,27,7,334,26.4,5.23245,17,2013.235,33
4,Bur-0,D,27,8,265.1,21.9,5.82472,17,1569.92,33
4,Bur-0,D,27,18,155.6,13.4,5.17635,16,730.015,33
5,Bay-0,C,21,5,499.6,47.9,7.78459,23,3424.224,33
5,Bay-0,C,21,11,407,34.6,7.79511,22,2845.419,33
5,Bay-0,C,21,17,376.2,31.9,7.83251,21,2705.099,33
5,Bay-0,C,21,25,223.2,18.3,8.12114,16,1607.024,33
5,Bay-0,C,21,28,211.9,17.2,8.3772,18,1552.528,33
5,Bay-0,D,21,7,105,13,4.96391,15,845.619,33
5,Bay-0,D,21,9,233.5,23.1,6.62785,18,1665.938,33
5,Bay-0,D,21,16,155.4,15.2,6.18477,16,1219.062,33
5,Bay-0,D,21,20,206.9,19.4,6.58585,20,1546.269,33
5,Bay-0,D,21,21,392.7,34.5,7.00098,21,2729.832,33
5,Bay-0,C,27,10,234.3,20.1,5.53256,15,1762.237,33
5,Bay-0,C,27,13,214.8,17.5,6.69856,13,1574.705,33
5,Bay-0,C,27,14,330,25.9,6.48109,19,2227.644,33
5,Bay-0,C,27,16,257.6,20,6.12712,16,1725.561,33
5,Bay-0,C,27,32,259.5,19.5,6.06698,14,1748.702,33
5,Bay-0,D,27,1,194.7,15.2,4.54434,13,1530.554,33
5,Bay-0,D,27,9,191.4,14.4,4.93842,12,1385.615,33
5,Bay-0,D,27,23,114.3,9.1,3.99536,10,890.796,33
5,Bay-0,D,27,26,233.3,18.3,4.51953,NA,NA,NA
5,Bay-0,D,27,27,179.4,14.5,4.59486,11,1306.428,33
5,Bur-0,C,21,1,496.2,52.7,7.35292,29,3169.538,33
5,Bur-0,C,21,4,315.5,34,7.31858,24,2251.123,33
5,Bur-0,C,21,21,405.7,43.7,7.39773,27,2808.882,33
5,Bur-0,C,21,23,170.1,18.45,7.28295,20,1353.447,33
5,Bur-0,C,21,28,419.8,39.9,7.32466,25,3030.702,33
5,Bur-0,D,21,5,296.7,34.1,5.62183,25,2044.276,33
5,Bur-0,D,21,11,252.9,29.5,5.9768,23,1761.952,33
5,Bur-0,D,21,14,252.1,30,5.50548,24,1787.611,33
5,Bur-0,D,21,17,299.5,36.9,5.27375,25,2113.726,33
5,Bur-0,D,21,31,313.1,34.6,5.80954,26,2395.916,33
5,Bur-0,C,27,10,231.3,27.5,6.50085,18,1455.998,33
5,Bur-0,C,27,14,314.7,32.6,6.76204,20,1729.955,33
5,Bur-0,C,27,16,131.6,13.7,6.17396,13,674.791,33
5,Bur-0,C,27,22,404.1,37.4,6.56044,23,1888.84,33
5,Bur-0,C,27,29,223.8,20.2,6.49769,30,1103.789,33
5,Bur-0,D,27,1,262.9,25.7,5.46742,24,1409.86,33
5,Bur-0,D,27,8,183.6,16.5,5.83123,26,911.365,33
5,Bur-0,D,27,27,273.7,25.2,5.54007,24,1273.938,33
5,Bur-0,D,27,28,393.8,35.4,5.8133,20,2158.725,33
5,Bur-0,D,27,30,238.7,19.2,5.83156,24,1186.385,33
5,Col-0,C,21,5,,,7.06826,,,35
5,Col-0,C,21,8,,,7.27462,,,35
5,Col-0,C,21,10,,,7.22078,,,35
5,Col-0,C,21,25,,,7.34642,,,35
5,Col-0,C,21,26,,,7.29138,,,35
5,Col-0,D,21,1,,,6.64844,,,35
5,Col-0,D,21,2,,,6.09228,,,35
5,Col-0,D,21,3,,,6.48209,,,35
5,Col-0,D,21,15,,,5.75505,,,35
5,Col-0,D,21,17,,,6.71182,,,35
5,Col-0,C,27,3,,,6.98615,,,35
5,Col-0,C,27,10,,,7.07581,,,35
5,Col-0,C,27,14,,,6.80237,,,35
5,Col-0,C,27,21,,,7.30761,,,35
5,Col-0,C,27,24,,,7.30375,,,35
5,Col-0,D,27,5,,,6.5766,,,35
5,Col-0,D,27,8,,,6.46694,,,35
5,Col-0,D,27,23,,,6.77525,,,35
5,Col-0,D,27,27,,,6.69779,,,35
5,Col-0,D,27,28,,,6.70411,,,35
5,Lp2-6,C,21,6,77,9.1,7.19835,13,665.907,35
5,Lp2-6,C,21,9,57.1,6.2,6.69047,13,504.651,35
5,Lp2-6,C,21,13,129.1,13.1,7.60305,18,1077.515,35
5,Lp2-6,C,21,17,130,13.1,7.48958,22,1632.493,35
5,Lp2-6,C,21,26,134.2,14.3,7.40674,16,1102.83,35
5,Lp2-6,D,21,4,82.1,9.2,6.86025,16,732.786,35
5,Lp2-6,D,21,15,109.8,12,7.1551,19,887.419,35
5,Lp2-6,D,21,21,80,9.1,7.13878,16,672.803,35
5,Lp2-6,D,21,23,100,11.3,6.98298,17,841.921,35
5,Lp2-6,D,21,24,75.8,8.5,6.76668,16,670.248,35
5,Lp2-6,C,27,6,162.7,13.8,6.946,15,1228.47,35
5,Lp2-6,C,27,8,157.6,13.4,7.11476,15,1127.026,35
5,Lp2-6,C,27,13,77.4,6.8,6.61817,11,609.74,35
5,Lp2-6,C,27,25,160.7,14.7,6.84875,15,1274.531,35
5,Lp2-6,C,27,26,138.5,11.5,6.81948,15,1087.49,35
5,Lp2-6,D,27,9,146.4,14,6.70526,15,1033.991,35
5,Lp2-6,D,27,16,102.6,9,6.33884,14,739.941,35
5,Lp2-6,D,27,17,92.4,8.9,6.23035,15,735.763,35
5,Lp2-6,D,27,24,111,11.2,6.31132,15,846.577,35
5,Lp2-6,D,27,32,149.3,14.9,6.41392,15,1078.716,35
5,An-1,C,21,6,103.8,10.3,7.32325,17,835.748,35
5,An-1,C,21,15,120.1,11.8,7.6822,17,936.952,35
5,An-1,C,21,18,106.5,10.3,7.31734,16,878.531,35
5,An-1,C,21,26,188.8,18.4,7.60096,17,1386.973,35
5,An-1,C,21,30,63.7,6.6,7.15791,15,537.903,35
5,An-1,D,21,4,91.1,9.2,6.73077,17,718.997,35
5,An-1,D,21,13,79.4,7.4,6.8963,16,643.247,35
5,An-1,D,21,21,83.8,9.4,6.11953,14,652.703,35
5,An-1,D,21,22,109.7,10.2,6.98616,15,836.241,35
5,An-1,D,21,24,134,12.4,6.86173,15,970.246,35
5,An-1,C,27,4,257.9,18.6,7.10899,16,1811.769,35
5,An-1,C,27,5,205.6,15.3,7.19265,16,1473.4,35
5,An-1,C,27,29,315.1,22,7.17053,16,2228.391,35
5,An-1,C,27,31,233.8,16.4,7.17576,17,1622.953,35
5,An-1,C,27,32,162.5,12.1,6.85208,15,1187.876,35
5,An-1,D,27,8,129.3,10.7,6.65632,14,949.566,35
5,An-1,D,27,11,162.2,12.7,6.62263,14,1133.745,35
5,An-1,D,27,12,121.8,10.5,6.59492,14,898.258,35
5,An-1,D,27,24,268.3,20.9,6.62896,16,1863.273,35
5,An-1,D,27,30,159.9,12.7,6.61322,15,1178.015,35
4,Bay-0,D,21,31,NA,NA,NA,21,2777.643,33
5,Bay-0,D,27,21,NA,NA,NA,13,1657.788,33
5,Col-0,C,27,17,NA,NA,NA,2,24.55,35
